Course Title,Course Author,Course Link
Introduction to R, Jonathan Cornelissen, /courses/free-introduction-to-r
Intermediate R, Filip Schouwenaars, /courses/intermediate-r
Introduction to Machine Learning, Gilles Inghelbrecht, /courses/introduction-to-machine-learning-with-r
Cleaning Data in R, Nick Carchedi, /courses/cleaning-data-in-r
Introduction to Python, Hugo Bowne-Anderson, /courses/intro-to-python-for-data-science
Intermediate R: Practice, Filip Schouwenaars, /courses/intermediate-r-practice
Data Visualization with ggplot2 (Part 1), Rick Scavetta, /courses/data-visualization-with-ggplot2-1
Data Visualization with ggplot2 (Part 2), Rick Scavetta, /courses/data-visualization-with-ggplot2-2
Intermediate Python, Hugo Bowne-Anderson, /courses/intermediate-python
Data Visualization with ggplot2 (Part 3), Rick Scavetta, /courses/data-visualization-with-ggplot2-part-3
Text Mining with Bag-of-Words in R, EDWARD KWARTLER, /courses/text-mining-with-bag-of-words-in-r
Case Study: Exploring Baseball Pitching Data in R, Brian M. Mills, /courses/case-study-exploring-baseball-pitching-data-in-r
Introduction to Portfolio Analysis in R, Kris Boudt, /courses/introduction-to-portfolio-analysis-in-r
Credit Risk Modeling in R, Lore Dirick, /courses/introduction-to-credit-risk-modeling-in-r
Machine Learning with caret in R, Zachary Deane-Mayer, /courses/machine-learning-with-caret-in-r
Introduction to Databases in Python, Jason Myers, /courses/introduction-to-relational-databases-in-python
Manipulating Time Series Data with xts and zoo in R, Jeffrey Ryan, /courses/manipulating-time-series-data-with-xts-and-zoo-in-r
Time Series Analysis in R, David S. Matteson, /courses/time-series-analysis-in-r
Importing & Cleaning Data in R: Case Studies, Nick Carchedi, /courses/importing-cleaning-data-in-r-case-studies
Financial Trading in R, Ilya  Kipnis, /courses/financial-trading-in-r
Importing and Managing Financial Data in R, Joshua Ulrich, /courses/importing-and-managing-financial-data-in-r
Interactive Data Visualization with Bokeh, Team Anaconda, /courses/interactive-data-visualization-with-bokeh
Case Study: Exploratory Data Analysis in R, David Robinson, /courses/case-study-exploratory-data-analysis-in-r
Introduction to Importing Data in R, Filip Schouwenaars, /courses/introduction-to-importing-data-in-r
